id,Users,Tournaments,Matches,Teams,Points,"Bet At"
,,,,,,
65,admin,"IPL 2016","IPL season 8",RR,7,"2016-05-04 18:49:13"
64,admin,"IPL 2016","IPL season 8",KKR,5,"2016-05-04 18:49:10"
63,admin,"Asia Cup 2016","South Africa Vs Sri lanka","South Africa",4,"2016-05-04 18:38:24"
62,admin,"Asia Cup 2016","South Africa Vs Sri lanka","Sri lanka",7,"2016-05-04 18:38:22"
61,admin,WWE,-,RR,6,"2016-05-04 18:28:01"
60,admin,WWE,-,"Sri lanka",5,"2016-05-04 18:27:57"
59,admin,WWE,-,India,4,"2016-05-04 18:27:54"
58,admin,"World Cup 2016",-,England,4,"2016-05-03 19:44:26"
57,admin,"World Cup 2016",-,England,4,"2016-05-03 19:43:29"
56,admin,"World Cup 2016",-,England,4,"2016-05-03 19:43:23"
55,admin,"World Cup 2016",-,England,4,"2016-05-03 19:42:49"
54,admin,"World Cup 2016",-,England,4,"2016-05-03 19:42:36"
53,admin,"World Cup 2016",-,England,4,"2016-05-03 19:42:31"
52,admin,"World Cup 2016",-,England,4,"2016-05-03 19:42:26"
51,admin,"World Cup 2016",-,England,4,"2016-05-03 19:41:40"
50,admin,"World Cup 2016",-,India,4,"2016-05-03 19:33:12"
49,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",5,"2016-05-03 19:32:21"
48,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",5,"2016-05-03 19:31:27"
47,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",5,"2016-05-03 19:31:19"
46,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:15:08"
45,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:15:04"
44,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:55"
43,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:51"
42,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:45"
41,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:39"
40,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:33"
39,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:29"
38,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:26"
37,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:22"
36,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",6,"2016-05-03 19:13:18"
35,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:14"
34,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:10"
33,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:06"
32,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:13:02"
31,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:12:46"
30,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:12:35"
29,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:12:28"
28,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:12:17"
27,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:12:12"
26,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:11:24"
25,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:11:17"
24,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",4,"2016-05-03 19:10:39"
23,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",4,"2016-05-03 19:10:33"
22,admin,"World Cup 2016","South Africa Vs West Indies","West Indies",4,"2016-05-03 19:10:29"
21,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",4,"2016-05-03 19:10:08"
20,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",5,"2016-05-03 19:09:57"
19,admin,"World Cup 2016","South Africa Vs West Indies","South Africa",6,"2016-05-03 19:06:54"
18,admin,"World Cup 2016",-,India,4,"2016-05-03 19:06:16"
17,admin,"World Cup 2016",-,England,4,"2016-05-03 19:05:24"
