id,Users,Tournaments,Matches,Teams,Points,"Bet At"
,,,,,,
11,"Sachin Bhalke","Asia Cup 2016","Today Tour 2","West Indies",5,"2016-06-14 12:21:18"
10,"Sachin Bhalke","Asia Cup 2016","Today Tour 2",India,4,"2016-06-14 12:21:18"
9,"Sachin Bhalke","Asia Cup 2016","Today Tour 2",Api,9,"2016-06-14 12:20:17"
8,"Sachin Bhalke","Asia Cup 2016","Today Tour 1",Api,8,"2016-06-14 12:20:13"
7,"Sachin Bhalke","Asia Cup 2016","Today Tour 2",Api,5,"2016-06-14 12:19:31"
6,"Sachin Bhalke","Asia Cup 2016","Today Tour 2","West Indies",6,"2016-06-14 12:19:31"
5,"Sachin Bhalke","Asia Cup 2016","Today Tour 2",India,7,"2016-06-14 12:19:31"
4,"Sachin Bhalke","Asia Cup 2016","Today Tour 1",Api,7,"2016-06-14 12:19:07"
3,"Sachin Bhalke","Asia Cup 2016","Today Tour 1",NewZealand,4,"2016-06-14 12:19:07"
2,"Sachin Bhalke","Asia Cup 2016","Today Tour 1",India,5,"2016-06-14 12:19:07"
